05-08 18:23:53.746 127.0.0.1:54323       26513  #r thread INFO: ----- H2O started  -----
05-08 18:23:53.804 127.0.0.1:54323       26513  #r thread INFO: Cloud of size 1 formed [/127.0.0.1:54323]
05-08 18:23:53.826 127.0.0.1:54323       26513  #r thread INFO: Registered parsers: [GUESS, ARFF, XLS, SVMLight, AVRO, CSV]
05-08 18:23:53.826 127.0.0.1:54323       26513  #r thread INFO: Registered 0 extensions in: 442mS
05-08 18:23:54.100 127.0.0.1:54323       26513  #r thread INFO: Registered: 129 REST APIs in: 274mS
05-08 18:23:54.100 127.0.0.1:54323       26513  #r thread INFO: 
05-08 18:23:54.100 127.0.0.1:54323       26513  #r thread INFO: Open H2O Flow in your web browser: http://127.0.0.1:54323
05-08 18:23:54.100 127.0.0.1:54323       26513  #r thread INFO: 
05-08 18:24:04.616 127.0.0.1:54323       26513  #roup-2-2 INFO: Registered: 204 schemas in 612ms
05-08 18:24:04.675 127.0.0.1:54323       26513  #9677-170 INFO: GET /, parms: {}
05-08 18:24:04.684 127.0.0.1:54323       26513  #9677-171 INFO: GET /, parms: {}
05-08 18:24:04.753 127.0.0.1:54323       26513  #9677-173 INFO: GET /3/InitID, parms: {}
05-08 18:24:04.754 127.0.0.1:54323       26513  #9677-173 INFO: Locking cloud to new members, because water.api.schemas3.InitIDV3
05-08 18:24:04.770 127.0.0.1:54323       26513  #9677-174 INFO: GET /, parms: {}
05-08 18:24:04.775 127.0.0.1:54323       26513  #9677-176 INFO: GET /, parms: {}
05-08 18:24:04.787 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/InitID, parms: {}
05-08 18:24:05.013 127.0.0.1:54323       26513  #9677-171 INFO: GET /flow/index.html, parms: {}
05-08 18:24:05.013 127.0.0.1:54323       26513  #9677-171 INFO: Trying to load resource /flow/index.html via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.014 127.0.0.1:54323       26513  #9677-171 INFO: Trying to load resource /flow/index.html via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.039 127.0.0.1:54323       26513  #9677-171 INFO: Trying to load resource /flow/css/flow-lib.css via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.040 127.0.0.1:54323       26513  #9677-172 INFO: Trying to load resource /flow/css/flow.css via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.040 127.0.0.1:54323       26513  #9677-171 INFO: Trying to load resource /flow/css/flow-lib.css via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.041 127.0.0.1:54323       26513  #9677-173 INFO: Trying to load resource /flow/css/scala-editor.css via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.042 127.0.0.1:54323       26513  #9677-172 INFO: Trying to load resource /flow/css/flow.css via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.042 127.0.0.1:54323       26513  #9677-173 INFO: Trying to load resource /flow/css/scala-editor.css via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.043 127.0.0.1:54323       26513  #9677-174 INFO: Trying to load resource /flow/custom/custom.css via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.043 127.0.0.1:54323       26513  #9677-175 INFO: Trying to load resource /flow/js/flow.js via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.044 127.0.0.1:54323       26513  #9677-176 INFO: Trying to load resource /flow/js/flow-lib.js via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.044 127.0.0.1:54323       26513  #9677-175 INFO: Trying to load resource /flow/js/flow.js via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.044 127.0.0.1:54323       26513  #9677-174 INFO: Trying to load resource /flow/custom/custom.css via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.046 127.0.0.1:54323       26513  #9677-176 INFO: Trying to load resource /flow/js/flow-lib.js via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.118 127.0.0.1:54323       26513  #9677-175 INFO: GET /flow/fonts/fontawesome-webfont.woff, parms: {v=4.2.0}
05-08 18:24:05.118 127.0.0.1:54323       26513  #9677-175 INFO: Trying to load resource /flow/fonts/fontawesome-webfont.woff via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.118 127.0.0.1:54323       26513  #9677-172 INFO: Trying to load resource /flow/img/h2o.png via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.119 127.0.0.1:54323       26513  #9677-175 INFO: Trying to load resource /flow/fonts/fontawesome-webfont.woff via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.119 127.0.0.1:54323       26513  #9677-172 INFO: Trying to load resource /flow/img/h2o.png via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.475 127.0.0.1:54323       26513  #9677-176 INFO: GET /3/Metadata/endpoints, parms: {}
05-08 18:24:05.859 127.0.0.1:54323       26513  #9677-176 INFO: GET /3/NodePersistentStorage/notebook, parms: {}
05-08 18:24:05.860 127.0.0.1:54323       26513  #9677-175 INFO: GET /3/NodePersistentStorage/categories/environment/names/clips/exists, parms: {}
05-08 18:24:05.860 127.0.0.1:54323       26513  #9677-172 INFO: GET /flow/help/catalog.json, parms: {}
05-08 18:24:05.860 127.0.0.1:54323       26513  #9677-172 INFO: Trying to load resource /flow/help/catalog.json via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.860 127.0.0.1:54323       26513  #9677-173 INFO: GET /3/About, parms: {}
05-08 18:24:05.861 127.0.0.1:54323       26513  #9677-172 INFO: Trying to load resource /flow/help/catalog.json via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.863 127.0.0.1:54323       26513  #9677-174 INFO: GET /3/ModelBuilders, parms: {}
05-08 18:24:05.864 127.0.0.1:54323       26513  #9677-171 INFO: POST /3/scalaint, parms: {}
05-08 18:24:05.868 127.0.0.1:54323       26513  #9677-172 INFO: Trying to load resource /flow/img/h2o-flow.png via classloader sun.misc.Launcher$AppClassLoader@60dbf04d
05-08 18:24:05.868 127.0.0.1:54323       26513  #9677-172 INFO: Trying to load resource /flow/img/h2o-flow.png via classloader org.apache.spark.util.MutableURLClassLoader@45a39430
05-08 18:24:05.911 127.0.0.1:54323       26513  #9677-176 INFO: GET /3/NodePersistentStorage/environment/clips, parms: {}
05-08 18:24:22.918 127.0.0.1:54323       26513  #9677-170 INFO: GET /, parms: {}
05-08 18:24:22.925 127.0.0.1:54323       26513  #9677-170 INFO: GET /, parms: {}
05-08 18:24:22.939 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/InitID, parms: {}
05-08 18:24:24.022 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/model_hex, parms: {row_count=10}
05-08 18:24:24.296 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_1 (:= model_hex (as.factor (cols model_hex [0])) [0] [])), session_id=_sid_a446}
05-08 18:24:25.067 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_1, parms: {row_count=10}
05-08 18:24:25.103 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_2 (:= RTMP_sid_a446_1 (as.factor (cols RTMP_sid_a446_1 [1])) [1] [])), session_id=_sid_a446}
05-08 18:24:25.228 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_2, parms: {row_count=10}
05-08 18:24:25.263 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_3 (:= RTMP_sid_a446_2 (as.factor (cols RTMP_sid_a446_2 [2])) [2] [])), session_id=_sid_a446}
05-08 18:24:25.403 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_3, parms: {row_count=10}
05-08 18:24:25.434 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_2), session_id=_sid_a446}
05-08 18:24:25.449 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_1), session_id=_sid_a446}
05-08 18:24:25.466 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_4 (:= RTMP_sid_a446_3 (as.factor (cols RTMP_sid_a446_3 [3])) [3] [])), session_id=_sid_a446}
05-08 18:24:25.895 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_4, parms: {row_count=10}
05-08 18:24:25.927 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_5 (rows RTMP_sid_a446_4 [68751:6])), session_id=_sid_a446}
05-08 18:24:25.950 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_5, parms: {row_count=10}
05-08 18:24:25.979 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_4/summary, parms: {}
05-08 18:24:26.075 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_6 (t (quantile (cols RTMP_sid_a446_4 [4]) [0.25 0.5 0.75] "interpolate" _))), session_id=_sid_a446}
05-08 18:24:26.190 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_6, parms: {row_count=10}
05-08 18:24:26.229 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_8 (quantile (tmp= RTMP_sid_a446_7 (cols RTMP_sid_a446_4 [4])) [0.25 0.5 0.75] "interpolate" _)), session_id=_sid_a446}
05-08 18:24:26.239 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_8, parms: {row_count=10}
05-08 18:24:26.267 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_9 (t (quantile (cols RTMP_sid_a446_4 [5]) [0.25 0.5 0.75] "interpolate" _))), session_id=_sid_a446}
05-08 18:24:26.277 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_9, parms: {row_count=10}
05-08 18:24:26.311 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_11 (quantile (tmp= RTMP_sid_a446_10 (cols RTMP_sid_a446_4 [5])) [0.25 0.5 0.75] "interpolate" _)), session_id=_sid_a446}
05-08 18:24:26.319 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_11, parms: {row_count=10}
05-08 18:24:26.356 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_9), session_id=_sid_a446}
05-08 18:24:26.367 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_11), session_id=_sid_a446}
05-08 18:24:26.377 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_10), session_id=_sid_a446}
05-08 18:24:26.388 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_6), session_id=_sid_a446}
05-08 18:24:26.399 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_8), session_id=_sid_a446}
05-08 18:24:26.411 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_7), session_id=_sid_a446}
05-08 18:24:26.421 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_5), session_id=_sid_a446}
05-08 18:24:26.429 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_12 (t (quantile (cols RTMP_sid_a446_4 [6]) [0.25 0.5 0.75] "interpolate" _))), session_id=_sid_a446}
05-08 18:24:26.437 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_12, parms: {row_count=10}
05-08 18:24:26.469 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_14 (quantile (tmp= RTMP_sid_a446_13 (cols RTMP_sid_a446_4 [6])) [0.25 0.5 0.75] "interpolate" _)), session_id=_sid_a446}
05-08 18:24:26.479 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_14, parms: {row_count=10}
05-08 18:24:26.508 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_15 (t (quantile (cols RTMP_sid_a446_4 [7]) [0.25 0.5 0.75] "interpolate" _))), session_id=_sid_a446}
05-08 18:24:26.517 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_15, parms: {row_count=10}
05-08 18:24:26.552 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_17 (quantile (tmp= RTMP_sid_a446_16 (cols RTMP_sid_a446_4 [7])) [0.25 0.5 0.75] "interpolate" _)), session_id=_sid_a446}
05-08 18:24:26.559 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_17, parms: {row_count=10}
05-08 18:24:26.584 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_18 (rows RTMP_sid_a446_4 (<= (h2o.runif RTMP_sid_a446_4 1234) 0.7))), session_id=_sid_a446}
05-08 18:24:26.813 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(assign train.hex RTMP_sid_a446_18), session_id=_sid_a446}
05-08 18:24:26.915 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_15), session_id=_sid_a446}
05-08 18:24:26.926 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_17), session_id=_sid_a446}
05-08 18:24:26.935 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_16), session_id=_sid_a446}
05-08 18:24:26.946 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_12), session_id=_sid_a446}
05-08 18:24:26.957 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_14), session_id=_sid_a446}
05-08 18:24:26.968 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_13), session_id=_sid_a446}
05-08 18:24:26.979 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_3), session_id=_sid_a446}
05-08 18:24:26.991 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_20 (rows RTMP_sid_a446_4 (& (> (tmp= RTMP_sid_a446_19 (h2o.runif RTMP_sid_a446_4 1234)) 0.7) (<= RTMP_sid_a446_19 0.9)))), session_id=_sid_a446}
05-08 18:24:27.101 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(assign valid.hex RTMP_sid_a446_20), session_id=_sid_a446}
05-08 18:24:27.209 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_18), session_id=_sid_a446}
05-08 18:24:27.221 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_21 (rows RTMP_sid_a446_4 (> RTMP_sid_a446_19 0.9))), session_id=_sid_a446}
05-08 18:24:27.251 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(assign test.hex RTMP_sid_a446_21), session_id=_sid_a446}
05-08 18:24:27.347 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(rm RTMP_sid_a446_20), session_id=_sid_a446}
05-08 18:24:27.359 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/train.hex, parms: {row_count=10}
05-08 18:24:27.388 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/ModelBuilders/glm, parms: {}
05-08 18:24:27.429 127.0.0.1:54323       26513  #9677-170 INFO: POST /3/ModelBuilders/glm, parms: {training_frame=train.hex, response_column=gain, ignored_columns=[""]}
05-08 18:24:27.479 127.0.0.1:54323       26513  FJ-1-15   INFO: Building H2O GLM model with these parameters:
05-08 18:24:27.491 127.0.0.1:54323       26513  FJ-1-15   INFO: {"_train":{"name":"train.hex","type":"Key"},"_valid":null,"_nfolds":0,"_keep_cross_validation_predictions":false,"_keep_cross_validation_fold_assignment":false,"_parallelize_cross_validation":true,"_auto_rebalance":true,"_seed":-1,"_fold_assignment":"AUTO","_categorical_encoding":"AUTO","_distribution":"AUTO","_tweedie_power":1.5,"_quantile_alpha":0.5,"_huber_alpha":0.9,"_ignored_columns":[""],"_ignore_const_cols":true,"_weights_column":null,"_offset_column":null,"_fold_column":null,"_is_cv_model":false,"_score_each_iteration":false,"_max_runtime_secs":0.0,"_stopping_rounds":3,"_stopping_metric":"deviance","_stopping_tolerance":1.0E-4,"_response_column":"gain","_balance_classes":false,"_max_after_balance_size":5.0,"_class_sampling_factors":null,"_max_confusion_matrix_size":20,"_checkpoint":null,"_pretrained_autoencoder":null,"_standardize":true,"_family":"gaussian","_link":"family_default","_solver":"AUTO","_tweedie_variance_power":0.0,"_tweedie_link_power":1.0,"_alpha":null,"_lambda":null,"_missing_values_handling":"MeanImputation","_prior":-1.0,"_lambda_search":false,"_nlambdas":-1,"_non_negative":false,"_exactLambdas":false,"_lambda_min_ratio":-1.0,"_use_all_factor_levels":false,"_max_iterations":-1,"_intercept":true,"_beta_epsilon":1.0E-4,"_objective_epsilon":-1.0,"_gradient_epsilon":-1.0,"_obj_reg":-1.0,"_compute_p_values":false,"_remove_collinear_columns":false,"_interactions":null,"_early_stopping":true,"_beta_constraints":null,"_max_active_predictors":-1,"_stdOverride":false}
05-08 18:24:27.491 127.0.0.1:54323       26513  FJ-1-15   INFO: Dropping ignored columns: []
05-08 18:24:27.491 127.0.0.1:54323       26513  FJ-1-15   INFO: train dataset already contains 8 chunks. No need to rebalance.
05-08 18:24:27.609 127.0.0.1:54323       26513  FJ-1-15   INFO: GLM[dest=GLM_model_R_1494293032731_9, iter=0 lmb=.18E-1 obj=456.25 imp=.1E1 bdf=.38E1] Got 67 active columns out of 140 total
05-08 18:24:27.609 127.0.0.1:54323       26513  FJ-1-15   INFO: GLM[dest=GLM_model_R_1494293032731_9, iter=0 lmb=.18E-1 obj=456.25 imp=.1E1 bdf=.38E1] picked solver IRLSM
05-08 18:24:28.105 127.0.0.1:54323       26513  FJ-1-15   WARN: ADMM solver stopped after 10000 iterations. (max_iter=10000)
05-08 18:24:28.105 127.0.0.1:54323       26513  FJ-1-15   WARN: ADMM solver finished with gerr = 1.8046728094474151 >  eps = 1.0E-4
05-08 18:24:28.107 127.0.0.1:54323       26513  FJ-1-15   INFO: GLM[dest=GLM_model_R_1494293032731_9, iter=0 lmb=.18E-1 obj=20.743 imp=.95E0 bdf=.47E2] solution has 17 nonzeros
05-08 18:24:28.111 127.0.0.1:54323       26513  FJ-1-15   INFO: GLM[dest=GLM_model_R_1494293032731_9, iter=0 lmb=.18E-1 obj=20.743 imp=.95E0 bdf=.47E2] Scoring after 632ms
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO: GLM[dest=GLM_model_R_1494293032731_9, iter=0 lmb=.18E-1 obj=20.743 imp=.95E0 bdf=.47E2] Training metrics computed in 156ms
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO: GLM[dest=GLM_model_R_1494293032731_9, iter=0 lmb=.18E-1 obj=20.743 imp=.95E0 bdf=.47E2] Model Metrics Type: RegressionGLM
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  Description: N/A
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  model id: GLM_model_R_1494293032731_9
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  frame id: train.hex
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  MSE: 3.8449743
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  RMSE: 1.9608606
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  mean residual deviance: 3.8449743
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  mean absolute error: 1.4283985
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  root mean squared log error: NaN
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  null DOF: 48123.0
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  residual DOF: 48107.0
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  null deviance: 2.1956724E7
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  residual deviance: 185035.53
05-08 18:24:28.267 127.0.0.1:54323       26513  FJ-1-15   INFO:  AIC: 201417.81
05-08 18:24:28.614 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Models/GLM_model_R_1494293032731_9, parms: {}
05-08 18:24:28.719 127.0.0.1:54323       26513  #9677-170 INFO: POST /3/ModelMetrics/models/GLM_model_R_1494293032731_9/frames/valid.hex, parms: {model=GLM_model_R_1494293032731_9, frame=valid.hex}
05-08 18:24:28.757 127.0.0.1:54323       26513  #9677-170 INFO: POST /99/Rapids, parms: {ast=(tmp= RTMP_sid_a446_22 (rbind train.hex valid.hex)), session_id=_sid_a446}
05-08 18:24:28.781 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/Frames/RTMP_sid_a446_22, parms: {row_count=10}
05-08 18:24:28.810 127.0.0.1:54323       26513  #9677-170 INFO: GET /3/ModelBuilders/glm, parms: {}
05-08 18:24:28.852 127.0.0.1:54323       26513  #9677-170 INFO: POST /3/ModelBuilders/glm, parms: {seed=912559, training_frame=RTMP_sid_a446_22, response_column=gain, ignored_columns=[""], nfolds=4}
05-08 18:24:28.856 127.0.0.1:54323       26513  FJ-1-13   INFO: Building H2O GLM model with these parameters:
